Common Name,Scientific Name,English Common Name,Category,Da Shue Shan,Endemic,Race
灰雁(馴化),Anser anser (Domestic type),,domestic,,,
鴻雁(馴化),Anser cygnoides (Domestic type),,domestic,,,
家鵝(馴化),Anser sp. (Domestic type),,domestic,,,
疣鼻棲鴨(薑母鴨)(野化),Cairina moschata (Established Feral),,domestic,,,
疣鼻棲鴨(薑母鴨)(馴化),Cairina moschata (Domestic type),,domestic,,,
綠頭鴨(馴化),Anas platyrhynchos (Domestic type),,domestic,,,
普通珠雞(馴化),Numida meleagris (Domestic type),,domestic,,,
火雞(馴化),Meleagris gallopavo (Domestic type),,domestic,,,
藍孔雀(馴化),Pavo cristatus (Domestic type),,domestic,,,
野鴿(野化),Columba livia (Feral Pigeon),,domestic,,,
雞尾鸚鵡(馴化),Nymphicus hollandicus (Domestic type),,domestic,,,
虎皮鸚鵡(馴化),Melopsittacus undulatus (Domestic type),,domestic,,,
中杓鷸(白腰群),Numenius phaeopus phaeopus/alboaxillaris/variegatus,,form,,,
小黑背鷗(taimyrensis),Larus fuscus taimyrensis,,form,,,
白喉林鶯(curruca/blythi/halimodendri),Curruca curruca curruca/blythi/halimodendri,,form,,,
白喉林鶯(curruca/minula),Curruca curruca curruca/minula,,form,,,
白喉林鶯(minula/margelanica),Curruca curruca minula/margelanica,,form,,,
白喉林鶯(curruca /althaea),Curruca curruca curruca/althaea,,form,,,
白喉林鶯(curruca/minula/althaea),Curruca curruca curruca/minula/althaea,,form,,,
西方黃鶺鴒(lutea/flavissima),Motacilla flava lutea/flavissima,,form,,,
西方黃鶺鴒(flava/beema),Motacilla flava flava/beema,,form,,,
灰x鴻雁(馴化)(雜交),Anser anser x cygnoides (Domestic type),,hybrid,,,
家鵝x加拿大雁(雜交),Anser sp. (Domestic type) x Branta canadensis,,hybrid,,,
琵嘴x赤膀鴨(雜交),Spatula clypeata x Mareca strepera,,hybrid,,,
赤膀x赤頸鴨(雜交),Mareca strepera x penelope,,hybrid,,,
赤頸x葡萄胸鴨(雜交),Mareca penelope x americana,,hybrid,,,
疣鼻棲x綠頭鴨(雜交),Cairina moschata x Anas platyrhynchos,,hybrid,,,
琵嘴x綠頭鴨(雜交),Spatula clypeata x Anas platyrhynchos,,hybrid,,,
赤膀x綠頭鴨(雜交),Mareca strepera x Anas platyrhynchos,,hybrid,,,
赤頸x綠頭鴨(雜交),Mareca penelope x Anas platyrhynchos,,hybrid,,,
綠頭x花嘴鴨(雜交),Anas platyrhynchos x zonorhyncha,,hybrid,,,
